Campaign,Ad Group,Labels,Keyword,Criterion Type,Max CPC,Max CPM,Max CPV,First page bid,Top of page bid,First position bid,Quality score,Landing page experience,Expected CTR,Ad relevance,Final URL,Final mobile URL,Tracking template,Final URL suffix,Custom parameters,Campaign Status,Ad Group Status,Status,Approval Status,Comment
BioEmblem Non-Brand Products,Krill Oil,,"""krill oil""",Exact,,,,,,,,,,,https://bioemblem.com/products/krill-oil,,,,,,,,,
BioEmblem Non-Brand Products,Krill Oil,,krill oil,Broad,,,,,,,,,,,https://bioemblem.com/products/krill-oil,,,,,,,,,
BioEmblem Non-Brand Products,Krill Oil,,"""krill oil supplement""",Exact,,,,,,,,,,,https://bioemblem.com/products/krill-oil,,,,,,,,,
BioEmblem Non-Brand Products,Krill Oil,,krill oil supplement,Broad,,,,,,,,,,,https://bioemblem.com/products/krill-oil,,,,,,,,,
BioEmblem Non-Brand Products,Krill Oil,,"""krill oil benefits""",Exact,,,,,,,,,,,https://bioemblem.com/products/krill-oil,,,,,,,,,
BioEmblem Non-Brand Products,Krill Oil,,krill oil benefits,Broad,,,,,,,,,,,https://bioemblem.com/products/krill-oil,,,,,,,,,
BioEmblem Non-Brand Products,Krill Oil,,"""krill oil omega 3""",Exact,,,,,,,,,,,https://bioemblem.com/products/krill-oil,,,,,,,,,
BioEmblem Non-Brand Products,Krill Oil,,krill oil omega 3,Broad,,,,,,,,,,,https://bioemblem.com/products/krill-oil,,,,,,,,,
BioEmblem Non-Brand Products,Krill Oil,,"""best krill oil""",Exact,,,,,,,,,,,https://bioemblem.com/products/krill-oil,,,,,,,,,
BioEmblem Non-Brand Products,Krill Oil,,best krill oil,Broad,,,,,,,,,,,https://bioemblem.com/products/krill-oil,,,,,,,,,
BioEmblem Non-Brand Products,Krill Oil,,"""antarctic krill oil""",Exact,,,,,,,,,,,https://bioemblem.com/products/krill-oil,,,,,,,,,
BioEmblem Non-Brand Products,Krill Oil,,antarctic krill oil,Broad,,,,,,,,,,,https://bioemblem.com/products/krill-oil,,,,,,,,,
BioEmblem Non-Brand Products,Krill Oil,,"""krill oil vs fish oil""",Exact,,,,,,,,,,,https://bioemblem.com/products/krill-oil,,,,,,,,,
BioEmblem Non-Brand Products,Krill Oil,,krill oil vs fish oil,Broad,,,,,,,,,,,https://bioemblem.com/products/krill-oil,,,,,,,,,
BioEmblem Non-Brand Products,Krill Oil,,"""pure krill oil""",Exact,,,,,,,,,,,https://bioemblem.com/products/krill-oil,,,,,,,,,
BioEmblem Non-Brand Products,Krill Oil,,pure krill oil,Broad,,,,,,,,,,,https://bioemblem.com/products/krill-oil,,,,,,,,,
BioEmblem Non-Brand Products,Krill Oil,,"""krill oil for heart health""",Exact,,,,,,,,,,,https://bioemblem.com/products/krill-oil,,,,,,,,,
BioEmblem Non-Brand Products,Krill Oil,,krill oil for heart health,Broad,,,,,,,,,,,https://bioemblem.com/products/krill-oil,,,,,,,,,
BioEmblem Non-Brand Products,CoQ10,,"""coq10""",Exact,,,,,,,,,,,https://bioemblem.com/products/coq10,,,,,,,,,
BioEmblem Non-Brand Products,CoQ10,,coq10,Broad,,,,,,,,,,,https://bioemblem.com/products/coq10,,,,,,,,,
BioEmblem Non-Brand Products,CoQ10,,"""coq10 supplement""",Exact,,,,,,,,,,,https://bioemblem.com/products/coq10,,,,,,,,,
BioEmblem Non-Brand Products,CoQ10,,coq10 supplement,Broad,,,,,,,,,,,https://bioemblem.com/products/coq10,,,,,,,,,
BioEmblem Non-Brand Products,CoQ10,,"""coq10 with bioperine""",Exact,,,,,,,,,,,https://bioemblem.com/products/coq10,,,,,,,,,
BioEmblem Non-Brand Products,CoQ10,,coq10 with bioperine,Broad,,,,,,,,,,,https://bioemblem.com/products/coq10,,,,,,,,,
BioEmblem Non-Brand Products,CoQ10,,"""coq10 benefits""",Exact,,,,,,,,,,,https://bioemblem.com/products/coq10,,,,,,,,,
BioEmblem Non-Brand Products,CoQ10,,coq10 benefits,Broad,,,,,,,,,,,https://bioemblem.com/products/coq10,,,,,,,,,
BioEmblem Non-Brand Products,CoQ10,,"""coq10 for heart health""",Exact,,,,,,,,,,,https://bioemblem.com/products/coq10,,,,,,,,,
BioEmblem Non-Brand Products,CoQ10,,coq10 for heart health,Broad,,,,,,,,,,,https://bioemblem.com/products/coq10,,,,,,,,,
BioEmblem Non-Brand Products,CoQ10,,"""best coq10 supplement""",Exact,,,,,,,,,,,https://bioemblem.com/products/coq10,,,,,,,,,
